Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-07-06,121.02877900179695,121.3733396630046,116.98013208394697,117.15241241455078,7298000,0.0,0
2011-07-07,117.15239838787669,120.85648420102828,117.15239838787669,120.33963012695312,2778000,0.0,0
2011-07-08,120.77033826766919,122.92387501689348,119.73664325687056,121.45947265625,1099377,0.0,0
2011-07-11,120.85648532536224,122.23474096214277,118.09996090765597,118.87522888183594,441968,0.0,0
2011-07-12,118.0138147523605,120.08120478963426,117.1524000461389,119.65049743652344,831778,0.0,0
2011-07-13,119.21979255097236,121.80403672312475,119.21979255097236,121.71790313720703,798412,0.0,0
2011-07-14,120.85648499529624,121.45947265625,119.82278998449762,121.45947265625,244994,0.0,0
2011-07-15,120.77034073382411,122.06246280974409,120.59806041919721,121.89018249511719,450583,0.0,0
2011-07-18,121.45947532653808,121.89018268585204,118.87523117065429,120.59806060791016,521098,0.0,0
2011-07-19,120.77034092280664,122.14860973026953,120.42578029301366,120.59806060791016,3562762,0.0,0
2011-07-20,120.16735615123402,120.5980635209517,117.5831119329279,118.44452667236328,341265,0.0,0
2011-07-21,118.61681217803233,118.87523923999203,117.32469001238024,118.01382446289062,312364,0.0,0
2011-07-22,118.61680970617465,118.61680970617465,117.49696789044997,117.58311462402344,164511,0.0,0
2011-07-25,117.58311981313369,117.58311981313369,117.1524124145508,117.15241241455078,774734,0.0,0
2011-07-26,117.15241144328542,117.66926557495854,117.15241144328542,117.32469177246094,1967827,0.0,0
2011-07-27,117.15240944884032,117.23855618403476,115.08501924563697,115.9464340209961,3102984,0.0,0
2011-07-28,114.65431236336694,116.72170257568358,114.22360497378878,116.7217025756836,174217,0.0,0
2011-07-29,115.6018580491484,117.7553949470243,115.6018580491484,117.58311462402344,390032,0.0,0
2011-08-01,117.23855642115792,118.53067858681001,117.23855642115792,118.01382446289062,427811,0.0,0
2011-08-02,117.58312342090258,117.58312342090258,115.25730602602184,115.7741470336914,133132,0.0,0
2011-08-03,113.36218940072494,114.91272547703038,106.04015725710114,108.53826141357422,474007,0.0,0
2011-08-04,108.1075574425778,109.31353947746744,98.02900690743775,101.56080627441406,690419,0.0,0
2011-08-05,93.03279523807475,99.92411340385807,93.03279523807475,97.77057647705078,623970,0.0,0
2011-08-08,95.18632527260485,96.82301453288318,87.43359289746056,87.77816009521484,436986,0.0,0
2011-08-09,87.00289107927209,90.10398291223747,76.66591392133877,81.23141479492188,967015,0.0,0
2011-08-10,86.14147984704306,88.1227365123544,73.65096526922181,74.08167266845703,518657,0.0,0
2011-08-11,77.44119137789123,86.14147949218751,74.08167236328126,86.1414794921875,816454,0.0,0
2011-08-12,89.24256541735626,93.03279157366072,87.00288841610863,90.44854736328125,421377,0.0,0
2011-08-15,90.44854736328125,90.44854736328125,90.44854736328125,90.44854736328125,0,0.0,0
2011-08-16,92.94665207128865,92.94665207128865,89.58713325963765,91.39610290527344,226850,0.0,0
2011-08-17,91.22382086903065,92.08523559570312,89.75941189044374,92.08523559570312,160493,0.0,0
2011-08-18,90.7931197592161,90.7931197592161,80.11157509835422,82.9542465209961,343083,0.0,0
2011-08-19,80.19771405015594,87.95044700698875,78.38874434130959,86.09840393066406,392089,0.0,0
2011-08-22,85.79691041887386,88.8118621364091,83.98794070276736,86.6583251953125,187416,0.0,0
2011-08-23,88.38115068056311,90.44854736328125,87.69202283437231,90.44854736328125,238245,0.0,0
2011-08-24,91.39610313564499,91.74067034808054,89.15642611292334,90.1039810180664,121306,0.0,0
2011-08-25,91.22382172405504,91.99909629974134,90.10397994005561,91.74066925048828,82625,0.0,0
2011-08-26,90.87925473167783,91.22382194080967,88.29501052129837,90.44854736328125,58873,0.0,0
2011-08-29,91.30996734043026,94.06649202753847,91.13768701201347,93.54964447021484,89032,0.0,0
2011-08-30,94.75562018317146,97.59829141749573,93.89420545423353,95.61703491210938,203074,0.0,0
2011-08-31,91.74066903856065,94.41105339569104,90.01783957304778,93.03279113769531,631573,0.0,0
2011-09-01,92.77436375251142,92.77436375251142,87.95044258098814,89.32870483398438,156419,0.0,0
2011-09-02,88.29501747804026,88.72572488037217,83.72951638449273,85.96920013427734,228075,0.0,0
2011-09-05,82.65274316565163,83.98793866557459,80.111572265625,80.111572265625,152650,0.0,0
2011-09-06,80.92991365456292,83.55723128780241,77.9580353767641,80.111572265625,208731,0.0,0
2011-09-07,82.60967626119262,84.93549346923828,81.83440166781972,84.93549346923828,164972,0.0,0
2011-09-08,86.05533635276257,88.81186097240894,85.71076913228849,88.29501342773438,204478,0.0,0
2011-09-09,86.65832705472597,88.29501647949219,85.1939245321881,86.1414794921875,205167,0.0,0
2011-09-12,83.72951333316627,84.80628179975571,81.8344034607981,82.7388916015625,172653,0.0,0
2011-09-13,85.28006281877428,85.6246300435678,81.10220246984493,83.12652587890625,128590,0.0,0
2011-09-14,84.24637228547891,85.28006744384766,82.48046927018599,85.28006744384766,255658,0.0,0
2011-09-15,86.14147949218751,87.43360168457032,85.36620486234315,86.1414794921875,292634,0.0,0
2011-09-16,87.0028910270104,89.5871353149414,86.31375658806624,89.5871353149414,1199377,0.0,0
2011-09-19,86.31375114777732,87.86430025163524,86.14147083493651,87.77816009521484,174860,0.0,0
2011-09-20,88.29501342773438,89.58713557545732,86.65832405953736,88.29501342773438,134921,0.0,0
2011-09-21,88.20887102834493,88.63957839999499,85.75384032435423,86.57218170166016,113655,0.0,0
2011-09-22,83.98793919881186,84.24636625594512,77.52732849121094,77.52732849121094,456956,0.0,0
2011-09-23,76.57976865731415,80.11156763655416,72.35883528462956,76.66590881347656,575314,0.0,0
2011-09-26,74.51237827354754,79.25015955105634,73.65096349581866,76.4505615234375,319412,0.0,0
2011-09-27,79.33629817492458,79.68086539374458,77.52732849121094,77.52732849121094,144720,0.0,0
2011-09-28,77.52732351924595,78.81944557790005,75.20150644249763,76.66590881347656,228215,0.0,0
2011-09-29,75.93370780070778,77.31197001865932,74.98615293662064,75.37378692626953,469356,0.0,0
2011-09-30,75.67528368834995,75.67528368834995,72.789545620189,73.22025299072266,198139,0.0,0
